Lines changed
13851
1885
78
6
3
15
3
105
48
1089
1
9
1
82
4
1044
8
6
3
0
312
191
28
1
5
5
139
40
8
19
38
1
1
6
3
15
164
223
3
1
75
30
4
56
1
32
2
1
1
2
1
3
5
3
6
2
1
12
1
3
24
5
634
3
634
11
2175
368
30
374
6
9
0
3
4
13
2
10
40
4
1
86
24
3
24
1
1
62
0
0
6
15
3
1
14
1
1
52
6
258
11
8
22
3
7
0
371
88
1
89
2
2
75
2
5
163
6
1
15
4
4
1
0
1
42
3
2
6
5
10
5
27
2
3
6
5
4
46
8
530
22
1
6
2
617
13
1
7
88
2
5
2
14
2224
7
95
3
12
5
4
4
5
418
1
1
5
1
4
1
4
4
1
1
28
2
4
14
37
59
8
1
8
1
41
20
3
1
23
4
12
96
3
1
1
2
32
1
5
3
2
35
17
27
8
3
4
419
50
1
1
90
20
1
3
3
5
1
7
23
2
19
28
59
2
8
3
41
72
26
1
3
1
29
2
16
11
25
25
19
1
1
40
16
6
12
1
7
3
18
205
6
2
2
93
2
75
1
2
11
232
22
1
1
1
490
508
17
318
60
47
1
1
1
52
1
7
2
68
1
6
4
12
2
2
14
1
4
3
8
3
21
2
3
2
4
1
8
3169
66
112
8
38
2
5
72
2
11
10
82
2
1
16
1
3
64
106
4
2
52
62
2
1
7
1
930
82
1
1
2256
3
1
1
11
14
104
2
1
31
25
9
3
55
44
8
2
55
1
7
6
13
7
3
24
14
5
11
3
8
1
2
1
52
3
2
40
11
2
1
1
3
3
26
57
7
13
253
4
1
1
5
31
4
110
2
6
7
8
12
99
95
17
4
27
1
9
10
1
10
29
5
2
24
42
6
3
11
2
91
2
9
1
146
21
1
5
3
1
2
20
9
25
4
46
4
92
1
47
3
3
3
3
14
8
1
2
12
4
1
59
2
9
11
14
2
7
1
6
5
3
1
58
7
179
1
1
1
1
155
12
1
2
1
6
1
9
1
95
4
5
3
9
3
30
8
21
2
3
2
4
1
1
2
957
12
13
1
3
2
519
4
2
1
76
2
2
2
1
2
2
5
2
2
86
1
13
2
41
1
5
5
1
11
160
16
3
34
13
1
2
8
312
5
17
5
6
3
39
6
4
5
4
6
1
34
3
18
1
17
9
29
5
12
4
2
11
1
1
1
2
279
7
355
10
9
85
3
2
2
10
1
5
1
39
32
4
5
4
4
10
5
2
1
42
5
13
10
14
6
17
10
7
9
5
3
18
11
55
51
1
14
19
30
13
1
10
13
12
19
4
16
19
6
7
6
62
1
1
2
27
86
61
5
230
10
243
9
9
2
139
2
1
11
12
1
9
22
1
1
1
2
28
3
1
7
15
7
10
1
31
5
7
4
1
1
3
0
0
1
1
412
1
414
430
279
704
3
707
719
12
15
16
735
1
1266
100
1233
6
740
742
1
6
1252
38
1384
8
1002
2
1
1052
11
12
